Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Sexo;Valor;Estado dato
2022;Municipios;0284;Bustarviejo;Total;Total;Total;2707;
2022;Municipios;0297;Cabanillas de la Sierra;Total;Total;Total;874;
2022;Municipios;0301;Cabrera (La);Total;Total;Total;2825;
2022;Municipios;0318;Cadalso de los Vidrios;Total;Total;Total;3215;
2022;Municipios;0323;Camarma de Esteruelas;Total;Total;Total;7585;
2022;Municipios;0339;Campo Real;Total;Total;Total;6662;
2022;Municipios;0344;Canencia;Total;Total;Total;457;
2022;Municipios;0357;Carabaña;Total;Total;Total;2234;
2022;Municipios;0360;Casarrubuelos;Total;Total;Total;3987;
2022;Municipios;0376;Cenicientos;Total;Total;Total;2080;
2022;Municipios;0382;Cercedilla;Total;Total;Total;7527;
2022;Municipios;0395;Cervera de Buitrago;Total;Total;Total;166;
2022;Municipios;0513;Chapinería;Total;Total;Total;2508;
2022;Municipios;0528;Chinchón;Total;Total;Total;5673;
2022;Municipios;0409;Ciempozuelos;Total;Total;Total;25204;
2022;Municipios;0416;Cobeña;Total;Total;Total;7524;
2022;Municipios;0468;Collado Mediano;Total;Total;Total;7455;
2022;Municipios;0474;Collado Villalba;Total;Total;Total;64843;
2022;Municipios;0437;Colmenar de Oreja;Total;Total;Total;8561;
2022;Municipios;0421;Colmenar del Arroyo;Total;Total;Total;1939;
2022;Municipios;0455;Colmenar Viejo;Total;Total;Total;53316;
2022;Municipios;0442;Colmenarejo;Total;Total;Total;9544;
2022;Municipios;0480;Corpa;Total;Total;Total;772;
2022;Municipios;0493;Coslada;Total;Total;Total;80578;
2022;Municipios;0506;Cubas de la Sagra;Total;Total;Total;6692;
2022;Municipios;0534;Daganzo de Arriba;Total;Total;Total;10633;
2022;Municipios;0549;Escorial (El);Total;Total;Total;16733;
2022;Municipios;0552;Estremera;Total;Total;Total;1408;
2022;Municipios;0565;Fresnedillas de la Oliva;Total;Total;Total;1781;
2022;Municipios;0571;Fresno de Torote;Total;Total;Total;2438;
2022;Municipios;0587;Fuenlabrada;Total;Total;Total;190215;
2022;Municipios;0590;Fuente el Saz de Jarama;Total;Total;Total;7034;
2022;Municipios;0604;Fuentidueña de Tajo;Total;Total;Total;2249;
2022;Municipios;0611;Galapagar;Total;Total;Total;34860;
2022;Municipios;0626;Garganta de los Montes;Total;Total;Total;396;
2022;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Total;Total;Total;383;
2022;Municipios;0647;Gascones;Total;Total;Total;212;
2022;Municipios;0650;Getafe;Total;Total;Total;185119;
2022;Municipios;0663;Griñón;Total;Total;Total;10506;
2022;Municipios;0679;Guadalix de la Sierra;Total;Total;Total;6680;
2022;Municipios;0685;Guadarrama;Total;Total;Total;16870;
2022;Municipios;0698;Hiruela (La);Total;Total;Total;76;
2022;Municipios;0702;Horcajo de la Sierra-Aoslos;Total;Total;Total;199;
2022;Municipios;0719;Horcajuelo de la Sierra;Total;Total;Total;109;
2022;Municipios;0724;Hoyo de Manzanares;Total;Total;Total;8818;
2022;Municipios;0730;Humanes de Madrid;Total;Total;Total;19762;
2022;Municipios;0745;Leganés;Total;Total;Total;188122;
2022;Municipios;0758;Loeches;Total;Total;Total;8995;
2022;Municipios;0761;Lozoya;Total;Total;Total;600;
2022;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Total;Total;Total;1458;
2022;Municipios;0783;Madarcos;Total;Total;Total;63;
2022;Municipios;0796;Madrid;Total;Total;Total;3267027;
2022;Municipios;0800;Majadahonda;Total;Total;Total;72395;
