year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 15-19 años,,,306040
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 20-24 años,,,275951
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 25-29 años,,,287855
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 30-34 años,,,311604
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 35-39 años,,,373828
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 40-44 años,,,470595
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 45-49 años,,,497750
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 5-9 años,,,295277
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 50-54 años,,,456842
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 55-59 años,,,421685
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 60-64 años,,,364935
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 65-69 años,,,304223
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 70-74 años,,,281571
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 75-79 años,,,226376
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 80-84 años,,,163483
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 85-89 años,,,121858
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 90-94 años,,,57193
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,De 95-99 años,,,15070
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,espanola,Total,,,5803527
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 0-4 años,,,45217
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 10-14 años,,,37998
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 100 y más años,,,30
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 15-19 años,,,37371
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 20-24 años,,,67505
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 25-29 años,,,99631
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 30-34 años,,,113451
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 35-39 años,,,114572
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 40-44 años,,,105623
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 45-49 años,,,82953
